FondsID,SubfondsID,SeriesID,Container,No,Title Original,Title English,Date of Creation (YYYY),Date of Creation (MM),Date of Creation (DD),Date of Creation2 (YYYY),Date of Creation2 (MM),Date of Creation2 (DD),Creator,Collector,Type,Genre,Extent,Description Level,Language,Description/Annotation/Abstract,Temporal Coverage1 (YYYY),Temporal Coverage2 (YYYY),Spatial Coverage1,Spatial Coverage2,Spatial Coverage3,Geo Coordinates,"Subject (Event, Topic, Corporate body, Location outside of YU)",Subject (Person),Privacy/Access,Internal Note,Preview
205,4,120,2,2,Ecology: Environmental Pollution,,1992,9,21,1995,10,18,Politika|NIN|,Open Media Research Institute,Textual,press clippings|agency news|,11,Folder,Serbian|,The newspaper Politika reports on the document of the Government of Serbia on grey zone economy and measures for its combating|The coast of river Timok endangered due to pollution from the factory RTB Bor| The article about the quality of water in river Sava|Story about the poor quality of water in Belgrade|,1992,1995,,,Beograd,"44.786568,20.448922",Ecology|Environment|Grey zone economy|Pollution|River|Sava|Timok|RTB Bor|,"Aleksić, Jordan|Unković, Slobodan|Avramović, Dragoslav|Nikolić, Milovan|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Novi Sad,"45.267135,19.83355",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Bor,"44.069892, 22.098509",,,,,
205,4,120,2,3,Economics: Agriculture,,1992,3,17,1996,7,1,NIN|Politika|Borba|Vreme|,Open Media Research Institute,Textual,press clippings|agency news|,32,Folder,Serbian|,"Big problems in Serbian agriculture ahead of the harvest|The agricultural experts do not share the government’s optimism for this year’s harvest|Mirko Marjanović claims that state did a lot for successful harvest|Slobodan Radulović, vice president of the Government, states that they are preventing an increase of prices|The Minister of Agriculture Ivko Đonović explains the ways of paying for hay to producers|Peasants protest for better conditions, police responds with force|Protective prices for hay initiated by the Federal Government|Problems of PKB amidst new regulations of the Government|Interview with Ratko Lazarević, the Federal Minister of Agriculture|",1992,1996,,,Beograd,"44.786568,20.448922",Agriculture|Hay|Price controls|PKB (Agriculture Corporation Belgrade)|,"Garabandić, Đorđe|Marjanović, Mirko|Radulović, Slobodan|Đonović, Ivko|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Novi Sad,"45.267135,19.83355",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Nova Pazova,"44.944266, 20.219219",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Apatin,"45.672860, 18.984314",,,,,
205,4,120,2,4,Economics: Economic Policy,,1992,4,2,1993,12,5,RFE/RL|Reuter|Vreme|Agence France-Presse (AFP)|Politika|NIN|,Open Media Research Institute,Textual,press clippings|agency news|research paper|,90,Folder,English|Serbian|German|,"The study of the group of economist about the possible future directions for the Serbian economy: command or market economy|Interview with the economist Jurij Bajec| A paper titled ‘’The collapse of the Yugoslav Economy’’, by Egon Žižmond, published in Soviet Studies in 1992|Article about the situation on the first day after introducing new economic measures in FR Yugoslavia in July 1992| Interview with Oskar Kovač, the Vice President of the Government of FR Yugoslavia|An analysis of the possible conflict between federal and republic level due to new fiscal policy|Economists comment the adopted measures of Serbian economic policy|Miroljub Labus in a commentary writes about the solutions for Jugoskandik and Dafinment banks| Several articles about the consequences of sanctions on Yugoslavia|A research paper title ‘’Real-existing selfmanagement and the disintegration of Yugoslavia’’, by Laslo Sekelj|Half of all prices frozen by the new Government’s measures| Jovan Zebić, the Vice President of the Federal Government, explains how will economic policy look like|Political parties’ reactions on newest economic measures of three governments, one federal and two republic|Radoje Kontić explains in the Federal Parliament the measures for curbing inflation| Problems with food supplies in Serbia|Ivan Vujačić writes about negative expectations of new measures of Government to improve economy| RFE/RL Research institute draft research paper, authored by David A. Dyuker, titled ‘’Serbia’s new economic policy package’’|Economist Ljubomir Madžar explains the most pressing problems of the Serbian economy|Serbia to give away free bread due to collapsing economy|",1992,1993,,,Beograd,"44.786568,20.448922",Economy|Economic policy|Fiscal Policy|Hyperinflation|Shortage|Unemployment|Sanctions|,"Kontić, Radoje|Šainović, Nikola|Vujačić, Ivan|Zebić, Jovan|Cvijetičanin, Danijel|Labus, Miroljub|Karić, Bogoljub|Milošević, Slobodan|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Novi Sad,"45.267135,19.83355",,,,,
205,4,120,2,5,Economics: Economic Policy,,1994,1,8,1997,1,16,Vreme|Associated Press (AP)|NIN|Nedeljna Dalmacija|The Economist|The New York Times|Financial Times|The Guardian|Politika|Borba|Reuter|Beta|,Open Media Research Institute,Textual,press clippings|agency news|,95,Folder,Serbian|English|German|French|,"An article about the chaotic state of the Serbian economy and the possible ways out|Dragoslav Avramović, the Governor of NBJ, comments on what should be done in the second faze of economic reforms|An article about the economic program for recovery of Serbian economy written by Avramović|Critique of Avramović’s program by economist Ljubomir Madžar|An article about the effects of sanctions on different firms in Serbia|The Guardian writes about Avramović’s economic program|Strong links between Serbian economy and organized crime|New class of war profiteers emerges in Serbia|Several articles about the consequences of sanctions on Serbian economy|Mlađan Dinkić wrote a book titled ‘’The economy of destruction’’|Document of the Ministries of Republic of Serbia for Trade and Tourism, Finance, Labor and Private Entrepreneurship about grey economy and measures for its curbing|Mirko Marjanović states that inflation is under control|JUL members and Mirjana Marković are skeptical of market reforms|Dragoslav Avramović announces the start of the implementation of new economic program|",,,,,Beograd,"44.786568,20.448922",Economy|Economic policy|Sanctions|Inflation|War profiteers|Smuggling|Market reforms|NBJ (National Bank of Yugoslavia)|,"Đinđić, Zoran|Milošević, Slobodan|Kontić, Radoje|Avramović, Dragoslav|Madžar, Ljubomir|Marjanović, Mirko|Dinkić, Mlađan|Marković, Mirjana|",,,
205,4,120,2,6,Economics: Embargo,,1995,2,11,1996,10,22,Beta|Agence France-Presse (AFP)|Politika|Reuter|,Open Media Research Institute,Textual,press clippings|agency news|,34,Folder,Serbian|English|German|,Suspension of UN sanctions against FR Yugoslavia to be extended for an additional 100 days|Situation with the Yugoslav economy after lifting of three year long sanctions|An article about the consequences of sanctions for Serbia|Reactions from neighboring countries and Russia on the decision to lift sanctions against Serbia|Interview of Dragoslav Avramović regarding lifting of sanctions|,1995,1996,,,Beograd,"44.786568,20.448922",Economy|Embargo|UN (United Nations)| New York|Russia|,"Milošević, Slobodan|Tomić, Dragan|Kontić, Radoje|",,,
205,4,120,2,7,Economics: Finance,,1992,1,31,1992,12,29,Politika|Novosti|The New York Times|Borba|,Open Media Research Institute,Textual,press clippings|agency news|,47,Folder,German|Serbian|English|,"Several articles about the possible consequences of hyperinflation|Interview with professor Đorđe Đukić about hyperinflation|An article about life standard, which is at the level of 1965|Several articles about how to stop current inflation in Serbia|Reactions on the new devaluation of the Dinar|",1992,1992,,,Beograd,"44.786568,20.448922",Economy|Inflation|Life standard|UN (United Nations)|,"Marković, Vukašin|Đukić, Đorđe|Božović, Radoman|Kovač, Oskar|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Čačak,"43.891414,20.350165",,,,,
205,4,120,3,1,Economics: Finance,,1993,1,23,1993,12,29,RFE/RL)|Reuter|Vreme|Associated Press (AP)|The Daily Telegraph|Financial Times|Agence France-Presse (AFP)|Borba|Vjesnik|The Economist|Politika|,Open Media Research Institute,Textual,press clippings|agency news|research paper|,125,Folder,English|German|Serbian|,"Amid problems that hyperinflation is causing, Serbian government to give away free bread|Possible consequences of hyperinflation on prices and living standard|RFE/RL Research Institute research paper, titled ‘’Problems without prospects: Economic trends and policies in the new Yugoslavia’’, authored by Ljubomir Madžar|Interview with the Governor of NBJ|How businessmen are using the economic chaos of hyperinflation and economic crisis in Yugoslavia to profit|Manipulation of savings of population through commercial banks in Serbia|Several articles about the rise and fall of Dafiment Bank|The role of central bank in solving monetary crisis in FR Yugoslavia|An article about the banking scheme of Jezdimir Vasiljević|More and more people who deposited their savings to commercial banks in Serbia ended up cheated|Treasury of Jugoskandik bank robbed|Interview with Jezdimir Vasiljević, the owner of Jugoskandik bank|",1993,1993,,,Beograd,"44.786568,20.448922",Economy|Hyperinflation|Sanctions|NBJ (National Bank of Yugoslavia)|Price controls|UN (United Nations)|Dafiment Bank|,"Milošević, Slobodan|Dinkić, Mlađan|Labus, Miroljub|Atanacković, Borislav|Vasiljević, Jezdimir|Milanović, Dafina|Kontić, Radoje|Ognjanović, Vuk|",,WRONG ORDER:The catalog entries for this box should follow the order of folders as indicated in this database. The folders in the box are arranged according to the order present in this database.,
,,,,,,,,,,,,,,,,,,,,,,,,,Leskovac,"42.996376, 21.944034",,,,,
205,4,120,3,2,Economics: Finance,,1994,1,13,1997,2,20,Reuter| Agence France-Presse (AFP)|Associated Press (AP)|The Guardian|Slobodna Dalmacija|Politika|Financial Times|Vreme|Handelsblatt|NIN|Der Standard|,Open Media Research Institute,Textual,press clippings|agency news|,70,Folder,English|German|Serbian|,"The Yugoslav Government to introduce convertible Dinar as the part of measures to curb hyperinflation|Dafina Milanović explains the operation of Dafiment Bank in front of the Survey committee of the Parliament of FR Yugoslavia|New Governor of NBJ Dragoslav Avramović meets with the press to answer the questions on curbing hyperinflation|Testimony of Dafina Milanović about which top politicians and businessmen were taking out money from Dafinment bank|Commentary on the economic policy of Dragoljub Avramović, by economist Boško Mijatović|Interview with Dragoslav Avramović about the effects of his economic program|Avramović addresses the issue of salaries and pensions|Reactions on firing the Governor of NBJ Dragoslav Avramović, and how it will reflect on economy|",1994,1997,,,Beograd,"44.786568,20.448922",Economy|Finance|Hyperinflation|”Super dinar”|Dafimentbank|Economic program|NBJ (National Bank of Yugoslavia)|,"Avramović, Dragoslav|Milanović, Dafina|Marjanović, Mirko|Milošević, Slobodan|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Adaševci,"45.054763, 19.23566",,,,,
205,4,120,3,3,Economics: Foreign Trade,,1992,4,10,1996,10,7,Handelsblatt|Politika|The New York Times|Frankfurter Allgemeine Zeitung|Der Spiegel|Borba|The Independent|Wall Street Journal|Reuter|,Open Media Research Institute,Textual,press clippings|agency news|,55,Folder,German|Serbian|English|,"Attempts of smuggling food products to Macedonia from Serbia discovered by the Serbian authorities|Cooperation between Belgrade and Paris on purchasing of railway equipment|Interview with Blagoje Lučić, Federal Minister for Foreign Economic Cooperation about new Law on foreign business trade|Several articles about the inherited debts of Yugoslav successor states|New tarrif regulations in FRJ|Neighboring countries to FRJ face economic losses due to sanctions|The list of firms who are blocked for transactions with the US, and whose assets within US jurisdiction are blocked: the list contains more than 165 entities, published by the Department of the Treasury Washington|Story about the history of Yugoslav-Russian economic cooperation|How Serbian economy survives under sanctions with the help of smuggling of criminal networks|An article about oil smuggling between Serbia and Hungary|Foreign companies preparing to invest in Serbia in case of lifting of the UN sanctions|Delegation of FRJ and IMF meet in Paris to discuss the conditions of membership|FRJ aims to restore membership in the World Bank|",1992,1996,,,Beograd,"44.786568,20.448922",Foreign trade|(IMF (International Monetary Fund)|FRJ (Federal Republic Yugoslavia)|Economic sanctions|Smuggling|UN (United Nations)|World Bank|,"Lučić, Blagoje|Čović, Nebojša|Avramović, Dragoslav|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Kragujevac,"44.012793,20.911423",,,,,
205,4,120,3,4,Economics: Industry,,1992,8,21,1996,12,13,Wirtschaftswoche|Politika|NIN|Reuter|Associated Press (AP)|The New York Times|,Open Media Research Institute,Textual,press clippings|agency news|,10,Folder,German|Serbian|English|,"An article about the future of ‘’Zastava group’’ factory in Kragujevac: they are  looking for foreign partners|The list of 200 largest firms in Serbia and Montenegro appeared, most of them operate with losses|Interview with the director of the oil company ‘’NIS Jugopetrol’’ Dragan Tomić|Small company ‘’Progres trading’’, a firm of Serbian prime minister Mirko Marjanović, made profitable contracts with ‘’NIS’’ to import gas from Russia|",1992,1996,,,Beograd,"44.786568,20.448922",Economy|Industry|Oil|Firms|,"Tomić, Dragan|Marjanović, Mirko|",,,
205,4,120,3,5,Economics: Infrastructure,,1992,10,17,1997,2,11,The New York Times|Politika|Borba|Reuter|,Open Media Research Institute,Textual,press clippings|agency news|,23,Folder,English|Serbian|German|,"Production line of Yugo in Zastava factory in Kragujevac paralyzed|An article about the problems that shortage of oil causes in Serbia|Energy system of Serbia near collapse, states director of Đerdap Staniša Paunović|Slobodan Milošević opens the first Yugoslav underground railway station|",1992,1997,,,Beograd,"44.786568,20.448922",Infrastructure|Shortage|Electricity|Oil|,"Paunović, Staniša|Milošević, Slobodan|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Kragujevac,"44.012793,20.911423",,,,,
205,4,120,3,6,Economics: Labor,,1992,3,27,1997,1,26,Politika|NIN|Handelsblatt|Associated Press (AP)|Borba|Reuter|Financial Times|Die Presse|The Guardian| Agence France-Presse (AFP)|,Open Media Research Institute,Textual,press clippings|agency news|,75,Folder,Serbian|English|,Several stories about the reasons for workers’ strikes in Serbia|Strike of 2000 transport workers in Belgrade|Strikes in mine ‘’Trepča’’|Workers of ‘’Zastava’’ and ‘’Kolubara’’ start strike|Railway strike of workers demanding more pay|Story about the problem of unemployment in Serbia|,1992,1997,,,Beograd,"44.786568,20.448923",Labor|Unions|Strike|Unemployement|,"Božović, Radoman|Milosavljević, Ružica|Vujasinović, Milorad|Radić, Jovan|",,,
,,,,,,,,,,,,,,,,,,,,,,,,,Kragujevac,"44.012793,20.911423",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Lazarevac,"44.379487, 20.263894",,,,"{""",
,,,,,,,,,,,,,,,,,,,,,,,,,Niš,"43.317750, 21.907438",,,,,
205,4,120,3,7,Economics: Privatisation,,1992,3,,1997,2,14,Borba|Vreme|Politika|Financial Times|,Open Media Research Institute,Textual,press clippings|agency news|research paper|,11,Folder,Serbian|German|English|,"Transformation of social property in Serbia with higher state involvement|Private firm ‘’Alpen’’ to buy ‘’Zastava impeks’’|Federal government preparing to adopt the new Law on property transformation|Commentary on the consequences of the adoption of proposition in the Serbian National Parliament to reevaluate all privatization|Serbian businessmen comment the Law on reevaluation of privatized firms|Commentary on the consequences of nationalization of privatized firms, adopted on the initiative of DS|",1992,1997,,,Beograd,"44.786568,20.448922",Economy|Privatization|Renationalization|DS (Democratic Party)|SPS (Socialist Party of Serbia)|,"Đunić, Danko|Đinđić, Zoran| Đukić, Radoje|Milošević, Slobodan| Mijatović, Boško|",,,
205,4,120,3,8,Politics,,1992,6,22,1992,12,31,Chicago Tribune|The New York Times|Frankfurter Allgemeine Zeitung|Associated Press (AP)|Financial Times|The European| Agence France-Presse (AFP)|Der Spiegel|Newsweek|The Guardian|,Open Media Research Institute,Textual,press clippings|agency news|,115,Folder,English|German|Serbian|,"UN imposed sanctions on Yugoslavia start to have an effect on country’s economy|Aleksandar Karađorđević, son of Petar II, the last king of Yugoslavia, returns to Belgrade|Milošević’s resignation demanded at the huge anti-government protests in Belgrade|Milan Panić becomes the new  Prime Minister of FR Yugoslavia|Danube used for sanction busting, Russia involved|Several articles about the methods used for avoiding the effects of sanctions: fake tourist tours used for smuggling goods from Turkey and Timisoara to Serbia|The interview with the Prime Minister of FR Yugoslavia, Milan Panić, one in English, one in German|Politika does not appear in print to protest a takeover by the SPS|How Serbia uses secretive banking regulations in Cyprus to avoid UN sanctions|Patriarch of Serbia, Pavle blames atheistic Serbian, Muslim and Croatian military leaders for ethnic violence|",1992,1992,,,Beograd,"44.786568,20.448923",UN (United Nations)|War|Sanctions|Russia|SPS (Socialist Party of Serbia)|,"Karađorđević, Aleksandar|Milošević, Slobodan|Panić, Milan|Patriarch of Serbia, Pavle|",,,
205,4,120,4,1,Politics,,1993,2,7,1993,11,9,Associated Press (AP)|The Baltimore Sun|The Guardian|Neue Zurcher Zeitung|The New York Times|The Times|The Los Angeles Times|Time|Borba|Vreme|The Wall Street Journal|Suddeutsche Zeitung|,Open Media Research Institute,Textual,press clippings|agency news|,110,Folder,Serbian|German|English|,"Romania and Bulgaria ask from UN to expand its presence on Danube to enforce the embargo against Yugoslavia|No military intervention for now in Bosnia|Plans for expansion of arms industry in FR Yugoslavia despite sanctions|Effects of sanctions on Yugoslav economy|Serbian banker Jezdimir Vasiljević flees the country|Article about the media (TV) role in Yugoslav war|Story about Dafina Milanović and her Dafinment Bank|An article about Ratko Mladić|Relations between SPS and SRS worsened|Interview with Vuk Drašković, the president of SPO|Interview with Srđa Popović, the leading human rights activist in Yugoslavia|Milošević purges the top echelon of the Yugoslav army|",1993,1993,,,Beograd,"44.786568,20.448923",UN (United Nations)|Bucharest|Sanctions|War in Bosnia|Danube|SPS (Socialist Party of Serbia)|SRS (Serbian Radical Party)|SPO (Serbian Renewal Movement)|,"Clinton, Bill|Milošević, Slobodan|Ćosić, Dobrica|Christopher, Warren|Panić, Milan|Milanović, Dafina|Mladić, Ratko|Šešelj, Vojislav|Popović, Srđa|",,WRONG ORDER:The catalog entries for this box should follow the order of folders as indicated in this database. The folders in the box are arranged according to the order present in this database.,
,,,,,,,,,,,,,,,,,,,,,,,,,Podgorica,"42.441286,19.262892",,,,,
